title,listed_in,description,rating
Badla,"International Movies, Thrillers","When a woman is accused of killing her lover, a renowned lawyer is hired – but the more they try to  untangle the truth, the more convoluted it becomes.",TV-14
Theo Von: No Offense,Stand-Up Comedy,"Southern charmer Theo Von offers up a twisted take on his dating mishaps, meeting Brad Pitt, chasing down fugitive chimpanzees and more.",TV-MA
Crazy Beautiful You,"Comedies, Dramas, International Movies",A rebellious daughter accompanies her mother on a medical mission where she falls for the handsome politician's son assigned to be her chaperone.,TV-14
I'm Brent Morin,Stand-Up Comedy,"In a witty solo show, Brent Morin serves up infectious laughs on the agony of puberty, hot guy problems and the time a girl dumped him for a magician.",TV-MA
Jim Jefferies : BARE,Stand-Up Comedy,"Nothing is sacred in this show from Australian comic Jim Jefferies, whether it’s the mother of his child, auditioning disabled actors, or gun control.",TV-MA
Screwball,"Documentaries, Sports Movies",A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.,TV-MA
Sebastian Maniscalco: Why Would You Do That,Stand-Up Comedy,"Sebastian Maniscalco delivers an expressive stand-up at the legendary Beacon Theatre on Whole Foods, family nicknames and dodging obnoxious neighbors.",TV-MA
Enter the Anime,"Documentaries, International Movies","What is anime? Through deep-dives with notable masterminds of this electrifying genre, this fast-paced peek behind the curtain seeks to find the answers.",TV-MA
No Good Nick,"Kids' TV, TV Comedies, TV Dramas","A family finds their lives turned upside down when a teenage con artist shows up on their doorstep, claiming she's a distant relative.",TV-PG
No One Will Ever Know,"Dramas, International Movies",A mother and young son escape into their own imaginations to ignore the reality of their lives in rural Mexico.,TV-MA
Misfit,"Children & Family Movies, Comedies, International Movies","After living in America for years, a teenage girl moves back to the Netherlands and is quickly singled out as a misfit by the popular clique at school.",TV-14
Basketball or Nothing,"Docuseries, Reality TV",Follow the Chinle High basketball team in Arizona's Navajo Nation on a quest to win a state championship and bring pride to their isolated community.,TV-PG
Léa & I,Documentaries,Best friends Léa and Camille explore the notion of healing while traveling to Latin America in search of a cure for a terminal disease.,TV-MA
Otherhood,Comedies,"Feeling forgotten on Mother's Day, three best friends leave the suburbs and drive to New York City to surprise their adult sons.",R
Uriyadi 2,"Dramas, International Movies","When a chemical plant's poor conditions cause tragedies, an employee leads a protest against the company’s callous owner and local politicians.",TV-14
Manu,"Dramas, Independent Movies, International Movies","The relationship between a painter and his admirer unfolds as an abstract, twist-filled hide-and-seek game against the backdrop of murder and revenge.",TV-14
Sleepless Society: Nyctophobia,"International TV Shows, TV Mysteries, TV Thrillers","Following the death of her child, a grief-stricken woman struggles to find peace until a mysterious boy appears, claiming to be her reincarnated son.",TV-MA
The Letdown,"International TV Shows, TV Comedies, TV Dramas","Audrey, mother of a 2-month-old, joins a new-parents support group, where she makes some quirky friends facing various challenges and life changes.",TV-MA
The Red Sea Diving Resort,"Dramas, Thrillers",Undercover agents open up a fake hotel to real tourists as a cover to help smuggle thousands of Ethiopian refugees to safety. Inspired by true events.,TV-MA
Whitney Cummings: Can I Touch It?,Stand-Up Comedy,"In her fourth stand-up special, Whitney Cummings returns to her hometown of Washington, D.C., and riffs on modern feminism, technology and more.",TV-MA
Twelve Forever,Kids' TV,Reggie's wild imagination unlocks a weird and wonderful world where she can be herself – and escape the pressures of growing up.,TV-PG
Boi,"Dramas, Independent Movies, International Movies",A young chauffeur who's at a crossroads in his life escorts a pair of clients around Barcelona and becomes embroiled in their mysterious quest.,TV-MA
Eerie,"Horror Movies, International Movies","When a student's suicide rattles an all-girls Catholic school, a clairvoyant guidance counselor leans on a ghost to uncover the convent's abusive past.",TV-14
Girls With Balls,"Comedies, Horror Movies, International Movies","Stranded in the woods and eyeballed by twisted hunters, members of a women’s volleyball team bump it up in the most dangerous game of their lives.",TV-MA
My First First Love,"International TV Shows, Korean TV Shows, Romantic TV Shows","Due to various personal reasons, a group of Yun Tae-o’s friends move into his house, where they experience love, friendship, and everything in between.",TV-14
The Son,"Dramas, Independent Movies, International Movies","In this psychological thriller, painter Lorenzo's life spirals out of control as he fears his wife is trying to isolate him from their infant son.",TV-MA
Another Life,"British TV Shows, International TV Shows, TV Action & Adventure","After a massive alien artifact lands on Earth, Niko Breckinridge leads an interstellar mission to track down its source and make first contact.",TV-MA
The Great Hack,Documentaries,Explore how a data company named Cambridge Analytica came to symbolize the dark side of social media in the wake of the 2016 U.S. presidential election.,TV-MA
Beat Bugs,Kids' TV,"With songs made famous by the Beatles, five friendly bugs learn big lessons about the world around them – all from the safety of their own backyard.",TV-Y
D.L. Hughley: Contrarian,Stand-Up Comedy,"D.L. Hughley riffs on hot-button political issues, celebrity scandals, his mother's tough love and more in a rapid-fire stand-up show in Philadelphia.",TV-MA
Demetri Martin: The Overthinker,Stand-Up Comedy,"With his signature one-liners and drawings, Demetri Martin muses on doughnut holes, dogs, sports bars, the alphabet's most aggressive letters and more.",TV-MA
The Beast Stalker,"Action & Adventure, Cult Movies, International Movies","Feeling guilty after a high-speed chase leaves a girl dead, a determined sergeant pursues the crime boss who triggered the fatal car accident.",TV-14
The Midas Touch,"Comedies, International Movies","A debt collector takes over the management of a group of starlets after their talent agent defaults on a loan, but soon finds he's in over his head.",TV-14
The Twins Effect II,"Action & Adventure, Comedies, International Movies",An empress rules over a land where men are subservient to women. But a prophecy reveals that a boy will become king and restore the male regime.,TV-14
Twins Mission,"Action & Adventure, International Movies","To retrieve a healing bead stolen from its guardian monks, a pair of bickering twin sisters face off against an entire gang of rival twins.",TV-MA
Sexy Central,"International TV Shows, Romantic TV Shows, TV Dramas","In the bustling center of Hong Kong, five young women reckon with betrayal, unrequited love and other matters of the heart.",TV-MA
"¡Ay, mi madre!","Comedies, International Movies","When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",TV-MA
Comedians in Cars Getting Coffee,"Stand-Up Comedy & Talk Shows, TV Comedies","Jerry Seinfeld's roving talk show combines coffee, laughs and vintage cars into quirky, caffeine-fueled adventures with the sharpest minds in comedy.",TV-14
The Epic Tales of Captain Underpants,"Kids' TV, TV Comedies",Fourth-grade friends George and Harold have a shared love of pranks and comic books – and turning their principal into an undies-wearing superhero.,TV-Y7
Typewriter,"International TV Shows, TV Horror, TV Mysteries","Three young friends in Goa plan to search an old villa for ghosts, but when a new family moves in, the home’s buried past resurfaces in chilling ways.",TV-MA
Rookie Historian Goo Hae-Ryung,"International TV Shows, Korean TV Shows, Romantic TV Shows",Free spirit Goo Hae-ryung embarks on a new life as a scholar in the Joseon royal court after hearing about a government post for women historians.,TV-14
Secret Obsession,Thrillers,"When Jennifer wakes up with amnesia after a traumatic attack, her doting husband cares for her. But she soon realizes the danger is far from over.",TV-14
Mauli,"Action & Adventure, Dramas, International Movies",An unconventional police officer faces off against a gang of thugs as he tries to bring order to the far-flung village he’s been stationed in.,TV-14
Pinky Malinky,"Kids' TV, TV Comedies","Pinky Malinky sees the bright side of everything, including being born a hot dog. With his BFFs in tow, this little wiener takes a bite out of life.",TV-Y7
Unrequited Love,"International TV Shows, Romantic TV Shows, TV Dramas","A complicated, one-sided secret attraction sends ripples through the lives of a mild-mannered student and her dashing classmate.",TV-14
Bogda,"Dramas, International Movies",An aspiring dancer accompanies her terminally ill mother on one last road trip that alternately strains and strengthens their knotty relationship.,TV-PG
"Frankenstein’s Monster’s Monster, Frankenstein",Comedies,"When actor David Harbour finds lost footage of his father's disastrous televised stage play of a literary classic, he uncovers shocking family secrets.",TV-14
Angel Beats!,"Anime Series, International TV Shows","In a high school that's a way station to the afterlife, a teenager gets caught up in the battle for the rights of those in this purgatorial world.",TV-PG
Anohana: The Flower We Saw That Day,"Anime Series, International TV Shows, Teen TV Shows",A teen haunted by the spirit of an old friend summons the other members of their childhood club to help fulfill the girl's final wish.,TV-14
God Eater,"Anime Series, International TV Shows",An enemy immune to conventional arms has caused the collapse of civilization and humanity's only hope lies in a new living weapon: the God Arc.,TV-14
GRANBLUE FANTASY the Animation,"Anime Series, International TV Shows","In a world where islands float in the sky, Gran encounters a mysterious girl wanted by the Erste Empire for her ability to summon Primal Beasts.",TV-PG
3Below: Tales of Arcadia,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",TV-Y7
4L,"Comedies, Dramas, Independent Movies","Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter.",TV-MA
Bonus Family,"International TV Shows, TV Dramas","A new couple, their exes and their children navigate the emotional challenges and tricky logistics of blended family life in this Swedish dramedy.",TV-MA
Cities of Last Things,"Dramas, Independent Movies, International Movies","In a dystopian tale unfolding in reverse chronology, a man with a complicated past takes revenge on the individuals who wronged him decades ago.",TV-MA
Extreme Engagement,"International TV Shows, Reality TV",An engaged couple travels the world for a year to explore marriage customs in diverse cultures. Will the journey bring them closer or tear them apart?,TV-MA
Kidnapping Stella,"Dramas, International Movies, Thrillers","Snatched off the street and held for ransom, a bound and gagged woman uses her limited powers to derail her two masked abductors' carefully laid plans.",TV-MA
One Spring Night,"International TV Shows, Korean TV Shows, Romantic TV Shows","When Lee Jeong-in and Yu Ji-ho meet, something unexpected happens. Or it just may be that spring is in the air – and anything is possible.",TV-14
PILI Fantasy: War of Dragons,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy","As turmoil looms in the Martial World, and the Eight Wonders of the Evil Dragon unleashes dark forces, who will emerge as the new warrior legend?",TV-14
Point Blank,Action & Adventure,"To save his pregnant wife, an emergency room nurse unwillingly partners with an injured murder suspect in a race against time and renegade cops.",TV-MA
The Milk System,"Documentaries, International Movies","Farmers, scientists and industry insiders delve into the hidden costs and consequences of global dairy production and offer up possible solutions.",TV-14
True Tunes,Kids' TV,"True and her friends are dropping sweet, silly beats with freshly modern music videos set to the sounds of classic nursery rhyme songs.",TV-Y
Parchís: the Documentary,"Documentaries, International Movies, Music & Musicals","The spotlight's on Parchís, a record company-created Spanish boy/girl band that had unprecedented success with Top 10 songs and hit films in the '80s.",TV-14
Aziz Ansari: RIGHT NOW,Stand-Up Comedy,"In a comedy special directed by Spike Jonze, Aziz Ansari shares deep personal insights and hilarious takes on wokeness, family and the social climate.",TV-MA
Free Rein,"British TV Shows, Kids' TV, TV Dramas","A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.",TV-G
"River, el más grande siempre","Documentaries, International Movies, Sports Movies","Experience the highlights of Argentine soccer team Club Atlético River Plate's long history, from its early development to its major victories.",TV-G
The Legend of White Snake,"International TV Shows, Romantic TV Shows, TV Dramas","In this new take on a classic tale, an ancient snake spirit transforms into a beautiful woman and falls in love with a doctor unaware of her true form.",TV-14
Cristina,Documentaries,"In this short documentary, 37-year-old Cristina valiantly battles cancer while doing all she can to encourage others to live in the moment.",TV-14
Kakegurui,"International TV Shows, TV Dramas, TV Thrillers","Yumeko Jabami enrolls at Hyakkaou Private Academy, where students are ranked by their gambling winnings and fame and fortune awaits those on top.",TV-MA
Stranger Things,"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy","When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces and one strange little girl.",TV-14
The Last Czars,"Docuseries, TV Dramas","When social upheaval sweeps Russia in the early 20th century, Czar Nicholas II resists change, sparking a revolution and ending a dynasty.",TV-MA
Yummy Mummies,"International TV Shows, Reality TV",It's drama Down Under when expectant mothers with model good looks and lavish lifestyles pull out all the stops to prepare for their new arrivals.,TV-MA
Bangkok Love Stories: Objects of Affection,"International TV Shows, Romantic TV Shows, TV Dramas",A kind computer repairman falls for a street-smart graffiti artist whose multiple personality disorder worsens after she witnesses a double murder.,TV-14
Bangkok Love Stories: Plead,"International TV Shows, Romantic TV Shows, TV Dramas","In Bangkok's Chinatown, a spirited digital marketing expert falls for a blind fortune-teller, but their love is predestined to end in disaster.",TV-14
Designated Survivor: 60 Days,"International TV Shows, Korean TV Shows, TV Dramas","When the National Assembly suffers a catastrophic attack, Minister of Environment Park Mu-jin must find a way to lead Korea through the ensuing chaos.",TV-14
DreamWorks Kung Fu Panda Awesome Secrets,"Kids' TV, TV Action & Adventure, TV Comedies","In this pair of adventures, Po tells the story of how masters Thundering Rhino, Storming Ox and Croc met and takes on Shifu's biggest challenge yet.",TV-PG
Hatchimals | Adventures in Hatchtopia,Kids' TV,"These fun-loving creatures hatch from their shells and spread friendship, laughter and life lessons in the land of Hatchtopia.",TV-Y
Katherine Ryan: Glitter Room,Stand-Up Comedy,"Fresh from a tour, comedian Katherine Ryan shares shrewd observations about school bullies, revenge bodies and raising a very fancy child.",TV-MA
Molang,Kids' TV,"An imaginative, big-hearted bunny and his friend, a shy chick, explore the everyday joys of their pastel-colored world.",TV-Y
Rabbids Invasion,"Kids' TV, TV Comedies","Giant, rambunctious rabbits have invaded and are wreaking havoc on the world. But we'll have to get used to them, because they're not going anywhere!",TV-Y7
Record of Grancrest War,"Anime Series, International TV Shows","Lone mage Siluca wanders the land of Atlatan, disgusted by its greedy nobility. When she meets knight errant Theo, she sees a chance to create peace.",TV-MA
War Against Women,"Documentaries, International Movies","Filmed over three years in 10 countries, this documentary gives voice to the women who have become victims of sexual violence as weapons of war.",TV-MA
Inhuman Kiss,"Horror Movies, International Movies, Romantic Movies",A teenage girl is caught between the affections of two childhood friends while battling the bloodthirsty demon inside of her that manifests at night.,TV-MA
Romeo Akbar Walter,"Dramas, International Movies, Thrillers","In 1971, a fallen army major’s son is tapped by India's Research and Analysis Wing to serve as an undercover agent in Pakistan in the lead-up to war.",TV-14
Scare Tactics,"Reality TV, TV Comedies, TV Horror",This ghoulish but hilarious hidden-camera show from Syfy finds mischievous friends and family members setting up unsuspecting victims for elaborate pranks that use high-quality makeup and special effects to unleash their worst fears upon them.,TV-MA
Super Deluxe,"Comedies, Dramas, International Movies","Sex, stigma and spirituality merge in these eccentric stories of an angsty teenager, an unfaithful wife and a transgender woman returning to her past.",TV-MA
Dope,"Crime TV Shows, Docuseries","Filmed from the perspectives of dealers, users and the police, this vivid series offers a bracing look at the war on drugs.",TV-MA
El testigo,"Documentaries, International Movies",Colombian photojournalist Jesús Abad Colorado shares the stories behind a series of civil war photographs he captured throughout the '80s and '90s.,TV-14
Exhibit A,"Crime TV Shows, Docuseries, Science & Nature TV",This true crime series shows how innocent people have been convicted with dubious forensic techniques and tools such as touch DNA and cadaver dogs.,TV-MA
Instant Hotel,"International TV Shows, Reality TV",Teams of Australian homeowners compete for the title of best Instant Hotel by staying overnight in each other's rentals and rating their experience.,TV-MA
La Leyenda del Diamante,"Action & Adventure, International Movies, Sci-Fi & Fantasy","When a gun-toting rebel tries to rescue her kidnapped sister, she finds herself up against a widely feared desperado and a cursed guardian of treasure.",TV-MA
Motown Magic,"Kids' TV, TV Sci-Fi & Fantasy","Imaginative boy Ben transforms his city by bringing colorful street art to life, armed with a magic paintbrush – and the classic sounds of Motown.",TV-Y
Paquita Salas,"International TV Shows, Spanish-Language TV Shows, TV Comedies","One of Spain's best talent agents in the '90s, Paquita now finds herself searching desperately for new stars after suddenly losing her biggest client.",TV-MA
ANIMA,"Dramas, Independent Movies, Music & Musicals","In a short musical film directed by Paul Thomas Anderson, Thom Yorke of Radiohead stars in a mind-bending visual piece. Best played loud.",TV-PG
Answer for Heaven,"Crime TV Shows, International TV Shows, TV Comedies",An angel falls to earth to investigate why humans are doing fewer good deeds – and falls in with a hard-charging crime reporter and his news team.,TV-MA
Daniel Sosa: Maleducado,Stand-Up Comedy,"In his second stand-up special, Daniel Sosa reminisces about his childhood, ponders Mexican traditions and points out a major problem with ""Coco.""",TV-MA
Hikaru Utada Laughter in the Dark Tour 2018,"International Movies, Music & Musicals","Celebrating twenty years since her debut, Hikaru Utada takes the stage at Makuhari Messe for the final performance of her Laughter in the Dark Tour.",TV-PG
Kahaani,"International Movies, Music & Musicals, Thrillers","Pregnant and alone in the city of Kolkata, a woman begins a relentless search for her missing husband, only to find that nothing is what it seems.",TV-14
Unbroken,"Documentaries, International Movies","After the brutal murders of their loved ones, three individuals share how they healed through forgiveness in this documentary presented by Aamir Khan.",TV-14
Mike Epps: Only One Mike,Stand-Up Comedy,"In a raw stand-up comedy special, Mike Epps mixes it up as he tackles sexual misconduct, special ed, aging body parts and much more.",TV-MA
Forest of Piano,"Anime Series, International TV Shows",Kai grows up playing an old piano discarded in the woods; Shuhei's father is a famous pianist. Their chance meeting transforms their lives and music.,TV-14
Triple Threat,"Action & Adventure, International Movies",A crew of ruthless criminals hired to kill an influential heiress meet their match in a trio of surprisingly adept fighters who come to her aid.,R
Blood Will Tell,"Dramas, Independent Movies, International Movies",Family patriarch Elías begins to unravel after the death of his wife – which casts a suspicious light on her tragic accident.,TV-MA
Bolívar,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","This dramatization depicts the life – and loves – of Venezuelan Gen. Simón Bolívar, who helped liberate several Latin American countries from Spain.",TV-MA
EVANGELION: DEATH (TRUE)²,"Action & Adventure, Anime Features, International Movies","Fifteen years after the Second Impact, apathetic teen Shinji joins his father's group NERV to fight the Angels. But the truth may destroy them all.",TV-MA
Girls Incarcerated,"Docuseries, Reality TV","Fights, friendships, dating, rules. Teenage life is full of drama. But behind bars, the stakes are so much higher.",TV-MA
Go! Live Your Way,"Kids' TV, Spanish-Language TV Shows, Teen TV Shows","Charismatic Mía gets a scholarship to an elite performing arts school, where she makes close friends but clashes with the owner's popular daughter.",TV-PG
Magi: The Labyrinth of Magic,"Anime Series, International TV Shows",A land of mysterious ruins and a magical treasure hunt await young Aladdin and his courageous friend Alibaba for the adventure of their lives.,TV-MA
Neon Genesis Evangelion,"Anime Series, International TV Shows","Fifteen years after the Second Impact, Shinji Ikari joins his father's group NERV as one of several teenage mecha pilots fighting the monstrous Angels.",TV-MA
Shooter,"Crime TV Shows, TV Action & Adventure, TV Dramas","A highly decorated ex-Marine sniper returns to action to foil an assassination plot targeting the president, but soon finds himself framed for murder.",TV-14
The Casketeers,"International TV Shows, Reality TV",Māori funeral directors Francis and Kaiora Tipene and staff temper good humor with care and respect as they help Polynesian families cope with loss.,TV-14
The Confession Tapes,"Crime TV Shows, Docuseries","This true crime documentary series investigates cases where people convicted of murder claim their confessions were coerced, involuntary or false.",TV-MA
The End of Evangelion,"Action & Adventure, Anime Features, International Movies","Seele orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can trigger Third Impact and Instrumentality under his control.",TV-MA
Rakkhosh,"Horror Movies, Independent Movies, International Movies",An asylum patient’s troubled past threatens his grasp on reality as fellow hospital residents begin disappearing at the hands of an unknown entity.,TV-MA
The Wolf's Call,"Dramas, International Movies, Thrillers","With nuclear war looming, a military expert in underwater acoustics strives to prove things aren't as they seem – or sound – using only his ears.",TV-14
Beats,"Dramas, Independent Movies, Music & Musicals","On Chicago's South Side, hip-hop prodigy August Monroe navigates crippling anxiety and new creative frontiers with the help of an unlikely mentor.",TV-MA
The Edge of Democracy,"Documentaries, International Movies",Political documentary and personal memoir collide in this exploration into the complex truth behind the unraveling of two Brazilian presidencies.,TV-14
Adam Devine: Best Time of Our Lives,Stand-Up Comedy,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha.",TV-MA
Cop Car,Thrillers,Two mischievous boys get thrust into a game of cat and mouse with a murderous psychopath after they decide to steal a police officer’s cruiser.,R
Right Here Right Now,"Comedies, Dramas, Independent Movies","The owner of a failing music club throws one last blowout, bringing together friends, foes and hard-partying weirdos for an unhinged New Year's Eve.",TV-MA
Fate/Zero,"Anime Series, International TV Shows","After three unsettled battles for the mystical Holy Grail, an artifact that grants a miracle to those who hold it, a fourth war begins.",TV-MA
Kill la Kill,"Anime Series, International TV Shows","The ""woman with the scissor blade"" – Ryuko Matoi – searches for clues all around the world for the truth behind her father's death.",TV-MA
Life Overtakes Me,Documentaries,"In the grip of trauma, hundreds of refugee children in Sweden withdraw from life's uncertainties into a coma-like illness called Resignation Syndrome.",TV-PG
Luckee,"Comedies, International Movies, Romantic Movies","When his friends make a bet that he can woo his college crush, a lovesick student named Luckee struggles between satisfying his heart and hormones.",TV-14
Pihu,"Dramas, Independent Movies, International Movies","A two-year-old must fend for herself when her mother suddenly passes away while her father is gone for a conference, leaving her prone to danger.",TV-14
Puella Magi Madoka Magica,"Anime Series, International TV Shows","One day, Madoka Kaname has a very magical encounter, one that can change her destiny. This is the beginning of the new story of magical witch girls.",TV-14
Somewhere Only We Know,"International TV Shows, Romantic TV Shows, TV Comedies",A language major bickers with – and falls for – a doctoral student as she navigates the ups and downs of love and friendship with college classmates.,TV-MA
The Alcàsser Murders,"Crime TV Shows, Docuseries, International TV Shows",New interviews and an up-to-date analysis of evidence shed light on the 1992 murders of three girls in Spain and their profound impact on the nation.,TV-MA
Unit 42,"Crime TV Shows, International TV Shows, TV Dramas",A widowed cop tapped to lead a special cybercrimes unit teams up with a former hacker to hunt down tech-savvy criminals who are terrorizing Belgium.,TV-MA
Awake: The Million Dollar Game,Reality TV,"Sleepless for 24 hours, contestants in the comedy game show stumble through challenges both eccentric and everyday for a chance at a $1 million prize.",TV-PG
Black Spot,"Crime TV Shows, International TV Shows, TV Dramas",A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.,TV-MA
DJ Cinderella,"Children & Family Movies, Comedies","Fiercely independent and disillusioned with love, a teen DJ is determined to chart her own path, till a pop heartthrob falls for her awesome mix.",TV-PG
El desconocido,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","Based on real events, the fictional story of Mexican drug lord El Chato's number one hitman, El Cholo.",TV-MA
Girlfriends' Guide to Divorce,"TV Comedies, TV Dramas","After the world learns the truth about her failing marriage, a successful self-help author tries to salvage her career and find her way as a divorcée.",TV-MA
Leila,"British TV Shows, International TV Shows, TV Dramas","In a near-future world where an oppressive regime segregates society, one woman skirts the system to search for the daughter taken from her years ago.",TV-MA
Marlon,TV Comedies,"After the friendliest divorce ever, a carefree but devoted father navigates post-split parenting life with his levelheaded ex-wife and two kids.",TV-14
Marvel's Jessica Jones,"Crime TV Shows, TV Action & Adventure, TV Dramas","Haunted by a traumatic past, Jessica Jones uses her gifts as a private eye to find her tormentor before he can harm anyone else in Hell's Kitchen.",TV-MA
Murder Mystery,Comedies,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",PG-13
Yankee,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows","On the run from the police, an Arizona man crosses into Mexico and gets deeply involved in drug trafficking – with the help of modern technology.",TV-MA
Jinn,"International TV Shows, TV Dramas, TV Mysteries","On a field trip to Petra, two jinns – one good, the other evil – enter the human realm, turning high school into a supernatural battleground.",TV-MA
Oprah Presents When They See Us Now,Documentaries,"Oprah Winfrey talks with the exonerated men once known as the Central Park Five, plus the cast and producers who tell their story in ""When They See Us.""",TV-PG
The 3rd Eye 2,"Horror Movies, International Movies","Working in an orphanage, Alia meets teen Nadia, who says she hears a strange voice in the walls. When they try to find the source, things go very wrong.",TV-MA
Jo Koy: Comin' In Hot,Stand-Up Comedy,"Comedian Jo Koy takes center stage in Hawaii and shares his candid take on cultural curiosities, filter-free fatherhood and more.",TV-MA
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,"Documentaries, Music & Musicals","In an alchemic mix of fact and fantasy, Martin Scorsese looks back at Bob Dylan's 1975 Rolling Thunder Revue tour and a country ripe for reinvention.",TV-MA
Upin & Ipin,Kids' TV,Two mischievous yet lovable five-year-old twins and their friends enjoy daily life and new discoveries with the residents of their Malaysian village.,TV-Y
Belmonte,"Dramas, Independent Movies, International Movies",An artist muddles through a midlife crisis while trying to balance his dimming career with a yearning to be a better father.,TV-MA
Designated Survivor,"Crime TV Shows, TV Dramas, TV Thrillers",America's fate rests in the hands of a low-level official after an attack on Washington decimates the government in this gripping political thriller.,TV-MA
Elisa & Marcela,"Dramas, International Movies, LGBTQ Movies","In 1901 Spain, Elisa Sánchez Loriga adopts a male identity in order to marry the woman she loves, Marcela Gracia Ibeas. Based on true events.",TV-MA
I Am Mother,"International Movies, Sci-Fi & Fantasy, Thrillers","Following humanity's mass extinction, a teen raised alone by a maternal droid finds her entire world shaken when she encounters another human.",TV-PG
Luka Chuppi,"Comedies, International Movies, Romantic Movies","Pretending to marry in order to cohabitate, a small-town couple lands in endless awkward situations to hide the truth from their orthodox families.",TV-PG
Pachamama,Children & Family Movies,"When a sacred statue is taken from his Andean village, a spirited boy who dreams of becoming a shaman goes on a brave mission to get it back.",PG
Rock My Heart,"Children & Family Movies, Dramas, International Movies","After an adventurous teen with a heart defect bonds with an unruly stallion, she trains to compete as an amateur jockey in a life-threatening race.",TV-PG
Stree,"Comedies, Horror Movies, Independent Movies","Once a year, men in a small town fear abduction by an eccentric female spirit. A young tailor dismisses the idea of the ghost – until he falls for her.",TV-MA
Super Monsters Monster Pets,Kids' TV,The adorably magical Monster Pets star in a series of short adventures that are big on fun – and full of surprises!,TV-Y
Tales of the City,TV Dramas,"Returning to San Francisco after a long absence, Mary Ann Singleton reunites with the community of characters at 28 Barbary Lane.",TV-MA
The Black Godfather,"Documentaries, Music & Musicals","This documentary follows the life of Clarence Avant, the ultimate, uncensored mentor and behind-the-scenes rainmaker in music, film, TV and politics.",TV-MA
Alles ist gut,"Dramas, International Movies","A woman sexually assaulted by her new boss's brother-in-law tries to move on as if nothing happened, but the night weighs heavily on her mind and body.",TV-MA
A Silent Voice,"Anime Features, International Movies",A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.,TV-14
Black Mirror,"British TV Shows, International TV Shows, TV Dramas","This sci-fi anthology series explores a twisted, high-tech near-future where humanity's greatest innovations and darkest instincts collide.",TV-MA
Cosmos Laundromat: First Cycle,"Dramas, International Movies, Sci-Fi & Fantasy","Despondent on a desolate island, a suicidal sheep is thrown a lifeline by a quirky salesman, who offers him the gift of a lifetime.",TV-MA
Miranda Sings Live…Your Welcome,Stand-Up Comedy,"Viral video star Miranda Sings and her real-world alter ego Colleen Ballinger share the stage in a special packed with music, comedy and ""magichinry.""",TV-14
Silent,"Children & Family Movies, Sci-Fi & Fantasy","""Silent"" is an animated short film created by Academy Award® winning Moonbot Studios. It celebrates how storytellers, inventors, and technology work together to create cinema magic.",TV-Y
Documentary Now!,TV Comedies,"Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as ""Grey Gardens"" and ""The Thin Blue Line.""",TV-14
Malibu Rescue: The Series,"Kids' TV, TV Action & Adventure, TV Comedies","On the heels of Junior Rescue training, Team Flounder returns to brave the beach in a series of thrilling saves and lighthearted laughs.",TV-G
Arthdal Chronicles,"International TV Shows, Korean TV Shows, TV Action & Adventure","In a mythical land called Arth, the inhabitants of the ancient city of Arthdal and its surrounding regions vie for power as they build a new society.",TV-MA
Krutant,"Dramas, International Movies","When a busy workaholic leaves town to meet friends, an unexpected delay leads him to the hut of an old man, whose haunting tale could change his life.",TV-14
A Thousand Goodnights,"International TV Shows, TV Dramas","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",TV-14
III Smoking Barrels,"Dramas, Independent Movies, International Movies","In three stories set in Northeast India, a child goes on the run, a young adult falls in with the wrong crowd and a desperate man turns to crime.",TV-MA
March Comes in Like a Lion,"Anime Series, International TV Shows, Teen TV Shows","Orphaned young, a reclusive 17-year-old professional shogi player starts to come out of his shell when three sisters take him under their wing.",TV-14
"Oh, Ramona!","Comedies, International Movies",Awkward 16-year-old Andrei is infatuated with his alluring but aloof schoolmate Ramona – until he meets stunning hotel clerk Anemona while on vacation.,TV-MA
